formula,Tc
Hg0.85Re0.15Ba2Cu1O4.55,110
Y0.95La0.05Ba2Cu3O6.58,110
Y1Ba2Cu3H0.48O7,110
Tl1Ba2Ca0.8Gd0.2Cu2O7,110
Y1Ba2Cu3H0.49O7,110
Y1Ba1.89La0.11Cu3O6.96,110
Y1Ba1.96La0.04Cu3O6.96,110
Er1Ba2Cu3O7,110
Eu1Ba2Cu3O6.94,110
Gd1Ba2Cu3O7,110
Y1Ba2Cu3O6.9,110
Bi2Sr2.65Ca0.35Cu2O8,110
Sm1Ba2Cu3O7.11,110
Bi4Ca3Sr3Cu4O16,110
Nd1Ba2Cu3O7,110
Y1Ba2Cu3H0.13O7,110
Y1Ba2Cu3H0.19O7,110
Y1Ba1.9La0.1Cu3O6.96,109
Y1Ba2Cu3O6.95,109
Y1Ba2Cu3O6.95,109
Y1Ba2Cu3O6.93,109
Y1Ba2Cu3O6.95,109
Y1Ba2Cu3O6.87,109
Y1Ba2Cu3O6.94,109
Y1Ba1.9Cs0.1Cu3O6.65,108.7
Y1Ba2Cu3O6.72,108.7
Y1Ba2Cu2.98Co0.02O6.9,108.7
Y1Ba2Cu3O7,108.6
Hg0.92Ba2.05Cu1.03O4.063,108.5
Hg1Ba2Cu1O4.101,108
Y1Ba2Cu3O6.95,108
Y1Ba2Cu3O6.95,108
Y1Ba2Cu3O6.95,108
Y0.9Ba2Cu3O6.58,108
Y1.2Ba2Cu3O6.98,108
Y1Ba2Cu3O6.95,108
Y1Ba1.9Rb0.1Cu3O6.52,107.995
Y1Ba1.8Cs0.2Cu3O6.58,107.5
C0.3Ba2Ca4Cu5.7O12.965,107.2
Y1Ba2Cu3H1O7,107
Y2La0.15Ba3.85Cu6O13.99,107
Y1Ba2Cu3O6.87,107
Y0.5Cd0.5Ba2Cu3O7,107
Y1Ba1.88La0.12Cu3O6.96,107
Y1Ba1.97La0.03Cu3O6.96,107
Y1Ba2Cu3O6.95,107
Y1Ba2Cu3O6.19,107
Hg1Ba2Cu1O4.18,107
Y1Ba2Cu3O4.86,107
Y1Ba2Cu3O6.93,107
Y1Ba2Cu3O6.95,107
Y1Ba2Cu3O6.95,106.7
Y1Ba2Cu3O6.95,106.5
Y1Ba2Cu3O7,106.5
Gd0.97Pr0.03Ba2Cu3O7,106
Y1Ba2Cu3O6.91,106
Y1Ba2Cu3O6.93,106
Y2Ba4Cu7O14.97,106
Sm1Ba2Cu3O7,106
Bi2Sr2Ca1Cu2O8,105.3
Y1Ba2Cu3O6.95,105.3
Y1Ba2Cu3O7,105.2
Y1Ba2Cu3O7,105
Y2La0.2Ba3.8Cu6O13.92,105
Y2Ba4Cu6O13.9,105
La1Ba2Cu3O6.85,105
Nd1Ba2Cu3O6.84,105
Y1Ba2Cu3.85O6.85,105
Y1Ba2Cu3O7,105
Y1Ba2Cu3O7,105
Y2Ba4Cu7O15,105
Er1Ba2Cu3O7,104.95
Y1Ba2Cu3O7,104.4
Bi2Sr2Ca1Cu2O8,104.4
Bi2Sr2Ca1Cu2O8,104
Bi2Sr2Ca1Cu2O8,104
Bi2.15Sr1.8Ca1Cu2O8.15,104
Ga1Sr2Ca3Cu4O10.8,104
Y1Ba1.8K0.2Cu3O6.57,103.7
Y1Ba1.9La0.1Cu3O6.92,103.7
Tl1Sr2Ca0.2Y0.8Cu2O6.97,103.5
Y1Ba2Cu3O6.94,103
Y1Ba2Cu3O8,103
Y1Ba2Cu3O6.94,103
Y1Ba2Cu3O7,103
Er1Ba2Cu3O6.85,103
Y1Ba2Cu3O6.82,103
Y1Ba2Cu3O7,103
Bi2Sr2Ca1Cu2O8,102.5
Hg1Ba2Ca1Cu2O6.1,102.5
Y1Ba2Cu3O6.93,102.3
Y1Ba2Cu3O6.91,102
Y1Ba2Cu3O6.9,102
Y1Ba2Cu3O6.9,102
Y1Ba2Cu3O6.7,102
Y1Ba2Cu3O6.95,102
Y1Ba2Cu3O6.9,102
Y1Ba2Cu3O6.91,102
Bi2Sr1.8Y0.1Ca1.1Cu2O8.23,102
Gd1.1Ba1.9Cu3O7,102
Bi1.2Pb0.8Sr2Ca1Cu2O8,101
Tl0.7Na0.3Sr2Ca0.8Cr0.2Cu2O7,101
Ho1Ba2Cu3O6.71,100.1
Gd1Ba2Cu3O6.89,100
Y1Ba2Cu3O6.94,100
Y1Ba1.7K0.3Cu3O6.54,100
Y1Ba1.9La0.1Cu3O6.73,100
Y1Ba2Cu3O7,100
Sm1Ba2Cu3O6.85,100
Y0.8Cd0.2Ba2Cu3O7,99.3
Y0.7Cd0.3Ba2Cu3O7,99
Bi2Sr2Ca1Cu2O8.16,99
Bi2Sr2Ca1Cu2O8.16,99
Y1Ba2Cu3H0.06O6.91,99
Y2Ba4Cu7O15.1,99
Y1Ba2Cu3O6.95,99
Yb1Ba2Cu3O6.9,99
Y1Ba2Cu3O6.95,99
Dy1Ba2Cu3O6.82,99
Bi2Sr2Ca1Cu2O8.16,99
Y1Ba1.9K0.1Cu3O6.61,99
Bi2Sr2Ca1Cu2O8.19,98
Sm1Ba2Cu3O7,98
Y1Ba1.92La0.08Cu3O6.965,98
Y0.6Eu0.4Ba2Cu3O7,98
Bi2Sr2Ca0.8Y0.2Cu2O8.27,98
Y1Ba1.98La0.02Cu3O6.96,98
Y1Ba2Cu3O6.93,98
Y1Ba2Cu3O6.94,98
Y1Ba2Cu3O6.9,98
Bi2Sr2Ca1Cu1.988Ni0.012O8,98
Y1Ba2Cu3H0.14O7,97.6
Tm1Ba2Cu3O6.65,97.4
Y1Ba2Cu3O6.94,97.2
Er1Ba2Cu3O7,97
Y1Ba2Cu3O7,97
Y1Ba2Cu3O6.9,97
Y1Ba2Cu3O7,97
Y1Ba2Cu3O7,97
Bi2Sr2Ca0.8Lu0.2Cu2O8.27,97
Dy1Ba2Cu3O7,97
Tl2Ba2Cu1O6.1,97
Hg1Ba2Cu1O4.103,97
Y1Ba2Cu3O6.9,97
Y1Ba2Cu3O6.95,97
Y0.95Cs0.05Ba2Cu3O6.61,97
Er1Ba2Cu3O6.82,97
Tl2Ba2Cu1O6.1,97
Lu1Ba2Cu3O7,96.8
Y0.9Rb0.1Ba2Cu3O6.42,96.8
Y1Ba2Cu3O6.92,96.6
Bi2Sr2Ca1Cu2O8,96.5
Bi2Sr2Ca1Cu2O8,96.3
Y1Ba2Cu3O6.906,96.3
Y1Ba2Cu3O6.95,96.3
Y0.9La0.1Ba2Cu3O6.62,96.2
Y1Ba2Cu3O6.75,96.1
Y1Ba2Cu2.94Zr0.06O6.81,96.1
Y0.925Ba1.975Ca0.1Cu4O8,96
Y1Ba2Cu3O6.99,96
Y1.2Ba1.8Cu3O6.68,96
Ho1Ba2Cu3O6.87,96
Dy1Ba2Cu3O6.9,96
Y1Ba2Cu3O7,96
Y1Ba2Cu3O6.96,96
Y1Ba2Cu3O6.962,96
Y1Ba2Cu3O6.95,96
Y1Ba2Cu3O6.95,96
Nd1Ba2Cu3O7,96
Y1Ba2Cu3O6.92,96
Y1Ba2Cu3O6.92,96
Y1Ba2Cu3O6.96,95.9
Y1Ba2Cu3O6.98,95.8
Bi2Sr2Ca1Cu2O8.272,95.7
Y1Ba2Cu3O6.95,95.6
Eu1Ba2Cu3O7,95.5
Y1Ba2Cu3O7,95.5
Ho1Ba2Cu3O7,95.5
Ho1Ba2Cu3O7,95.3
Y1Ba2Cu3O6.89,95.3
Y1Ba2Cu3O7,95.3
Y1Ba2Cu3O7,95.2
Tm1Ba2Cu3O7,95.2
Y1Ba2Cu3O7,95.2
Bi2Sr2Ca0.8Yb0.2Cu2O8.26,95.1
Y1Ba2Cu3O7,95.1
Y1Ba1.99La0.01Cu3O6.96,95
Tl2Ba2Cu1O6,95
Tl2Ba2Cu1O6,95
Tl2Ba2Cu1O6,95
Hg0.92Ba2.05Cu1.03O4.058,95
Y1Ba2Cu3O6.89,95
Y1Ba2Cu3O6.962,95
Y0.9K0.1Ba2Cu3O6.51,95
Y0.95Rb0.05Ba2Cu3O6.59,95
Y1Ba2Cu3O7,95
Y1Ba2Cu3O7,95
Y1Ba2Cu2.9Al0.1O6.93,95
Y1Ba2Cu3O6.85,95
Y1Ba2Cu3O6.98,95
Eu1Ba2Cu3O7,95
Gd1Ba2Cu3O7,95
Gd1Ba2Cu3S1O6,95
Y1Ba2Cu3O6.89,95
Gd1Ba2Cu3O6.9,95
Y1Ba2Cu3O7,95
Y1Ba2Cu2.97Co0.03O6.96,95
Y1Ba2Cu2.925Co0.075O6.97,94.9
Y1Ba2Cu3O6.8,94.8
Y1Ba2Cu3O7,94.8
Y1Ba2Cu3O7,94.77
Er1Ba2Cu3O6.91,94.5
Y1Ba2Cu3O7,94.5
Y1Ba2Cu3O6.9,94.5
Y1Ba2Cu3O7,94.5
Y1Ba2Cu3O7.1,94.5
Y1Ba2Cu3O6.9,94.4
Y1Ba2Cu3O7,94.3
Y1Ba2Cu3O7,94.3
Y1Ba2Cu3O7,94.2
Y1Ba2Cu3O7,94.2
Tl2Ba2Ca1Cu2O7.984,94.2
Er1Ba2Cu3O7,94.2
Nd1.1Ba1.9Cu3O6.9,94.2
Y1Ba2Cu3O7,94.1
Y1Ba2Cu3O7,94.1
Y1Ba2Cu3O7,94
Y1Ba2Cu3O6.93,94
Bi2Sr2Ca0.8Y0.2Cu2O8.26,94
Y1Ba2Cu3O6.9,94
Y1Ba2Cu3O7,94
Y2Ba4Cu7O15,94
Y1Ba2Cu3O6.9,94
Er1Ba2Cu3O7,94
Bi2Sr2Ca1Cu2O8.194,94
Ba2Cu3O7,94
Y1Ba2Cu3O6.92,94
Y0.95Ca0.05Ba2Cu2.95Al0.05O6.88,94
Y1Ba2Cu3Br0.9O6.2,94
Bi0.33Hg0.67Sr2Y0.5Ca0.5Cu2O7,94
Hg1Ba2Ca1Cu2O6.08,94
Y1Ba2Cu3H1.4O6.98,94
Y1Ba2Cu3O7,93.9
Y1Ba2Cu3O7,93.9
Y1Ba1Sr1Cu3O6.9,93.9
Tl1Ba2Sr1Ca2Cu3O9,93.8
Y1Ba2Cu3O6.94,93.8
Y1Ba2Cu3O6.96,93.8
Y1Ba2Cu3O6.83,93.8
Tl1Sr2Ca0.5Y0.5Cu2O6.89,93.8
Tl1Sr2Ca0.4Y0.6Cu2O6.93,93.8
Tl1Sr2Ca0.3Y0.7Cu2O6.97,93.8
Hg1Ba2Cu1O4.085,93.75
Hg1Ba2Cu1O4.1,93.7
Pr1Ba2Cu3O7,93.7
Pr1Ba2Cu3O7,93.7
Y1Ba2Cu3O6.93,93.65
Y1Ba2Cu3O4,93.6
Bi1.8Pb0.2Sr2Ca1Cu2O8,93.6
Y1Ba2Cu3O6.98,93.6
Y1Ba2Cu3O6.9,93.6
Y1Ba2Cu3O7,93.6
Y1Ba2Cu3O6.03,93.6
Y1Ba2Cu3O6.88,93.6
Y1Ba2Cu3O6.93,93.6
Y1Ba2Cu3O6.88,93.6
Y1Ba2Cu3O6.93,93.6
Y1Ba2Cu3O7,93.5
Er1Ba2Cu3O7,93.5
Y1Ba2Cu3O6.95,93.5
Y1Ba2Cu3O7,93.5
Y1Ba2Cu3O7,93.5
Hg1Ba2Ca1Cu2O6.1,93.5
Y1Ba2Cu3O6.8,93.5
Tl0.5Pb0.5Sr2Ca0.65Y0.35Cu2O7,93.5
Y1Ba2Cu3O7,93.5
Eu1Ba2Cu3O6.5,93.5
Y1Ba2Cu3O6.9,93.5
Y1Ba2Cu3O6.9,93.5
Y1Ba2Cu3O6.6,93.45
Y1Ba2Cu3O6.1,93.4
Y1Ba2Cu3O6.6,93.4
Y1Ba2Cu3O6.6,93.4
Y1Ba2Cu3O6.9,93.4
Y1Ba2Cu3O6.9,93.4
Y1Ba2Cu3O6.91,93.4
Bi2Sr2Ca1Cu2O8.25,93.4
Y1Ba2Cu3O6.96,93.4
Y1Re0.05Ba2Cu2.95O7.02,93.4
Y1Ba2Cu3O6.96,93.4
Y1Re0.05Ba2Cu2.95O7.04,93.4
Y1Ba2Cu3O6.95,93.35
Y1Ba2Cu3O7,93.3
Y1Ba2Cu3O7,93.3
Gd1Ba2Cu3O6.758,93.2
Y1Ba2Cu3O6.93,93.2
Y1Ba2Cu3O7,93.2
Tl0.7Li0.3Sr2Ca0.8Cr0.2Cu2O7,93.2
Y1Ba2Cu3O7,93.2
Y0.85Rb0.15Ba2Cu3O6.48,93.2
Y1Ba1.9La0.1Cu3O7.06,93.2
Y1Ba1.86La0.14Cu3O6.96,93.2
Y1Ba2Cu3O7,93.2
Y1Ba2Cu2.98Fe0.02O6.93,93.2
Y1Ba2Cu2.95Fe0.05O6.92,93.2
Y1Ba2La1.94Cu3O6.963,93.2
Y1Ba2Cu3O7,93.2
Tl1Ba2Ca0.9Gd0.1Cu2O7,93.2
Y0.887Ba1.962Ca0.15Cu4O8,93.15
Y1Ba2Cu3O6.939,93.1
Ho1Ba2Cu3O6.96,93.1
Y1Ba1.96Sr0.04Cu3O6.98,93.1
Y1Ba2Cu3O6.955,93.1
Y1Ba2Cu3O6.96,93.1
Y1Ba2Cu3O6.94,93.1
Bi2Sr2Ca0.8Dy0.2Cu2O8.26,93.05
Y0.6Cd0.4Ba2Cu3O7,93
Y0.4Cd0.6Ba2Cu3O7,93
Nd1Ba2Cu3O6.81,93
Y0.95Sc0.05Ba2Cu3O6.63,93
Y1Ba1.8La0.2Cu3O6.81,93
Y1Ba2Cu3H0.52O6.91,93
Y1Ba2Cu3O7,93
Dy1Ba2Cu3O7,93
Y1Ba2Cu3O7,93
Y1Ba2Cu3O6.8,93
Y1Ba2Cu3O7,93
Y1Ba2Cu2.98Ni0.02O7,93
Y1Ba2Cu3O6.97,93
Y0.85Ba1.95Ca0.2Cu4O8,93
Y1Ba2Cu3O7,93
Y1Ba2Cu3O6.9,93
Hg0.92Ba2.05Cu1.03O4.065,93
Y1Ba2Cu3O6.9,93
Y1Ba2Cu3O7,93
Y1Ba1.9K0.1Cu3O6.9,93
Y1Ba2Cu3O7,93
Y0.95Pr0.05Ba2Cu3O6.97,93
Y0.95Pr0.05Ba2Cu3O6.95,93
Y0.962Ba1.987Ca0.05Cu4O8,93
Y1Ba2Cu3O7,93
Ho1Ba2Cu3O6.9,93
Y1Ba2Cu3O6.92,93
Y1Ba2Cu3O6.9,93
Y0.95Pr0.05Ba2Cu3O6.96,93
Er1Ba2Cu3O6.94,93
Er1Ba2Cu3O6.94,93
Nd1Ba2Cu3O6.93,93
Y0.975Ca0.025Ba2Cu3O6.95,93
Y1Ba2Cu3O6.88,93
Ho1Ba2Cu3O7,93
Y1Re0.1Ba2Cu2.9O7,93
Y1Re0.15Ba2Cu2.85O7.07,93
Bi2Sr3Cu2O8,93
Y1Ba2Cu2.96Co0.04O7,93
Y1Ba2Cu3O6.8,93
Y1Ba2Cu3O7,93
Y1Ba2Cu2.955Fe0.045O6.93,92.9
Y1Ba2Cu3O7,92.9
Y1Ba2Cu3O6.99,92.9
Y1Ba2Cu3O7,92.85
Y1Ba2Cu3O6.9,92.85
Y0.9Sc0.1Ba2Cu3O6.56,92.83
Y1Ba2Cu3H0.91O6.91,92.8
Dy0.95Pr0.05Ba2Cu3O6.9,92.8
Y1Ba2Cu3O6.93,92.8
Y1Ba2Cu3O7,92.8
Y1Ba2Cu3O6.96,92.8
Y1Ba2Cu3O6.94,92.8
Y1Ba2Cu3O6.93,92.8
Y0.2Yb0.8Ba2Cu3O6.91,92.8
Y1Ba2Cu3O7,92.8
Y1Ba2Cu3O7.1,92.74
Ho1Ba2Cu3O7,92.7
Y1Ba2Cu3O6.96,92.7
Y0.9Cs0.1Ba2Cu3O6.47,92.7
Y1Ba2Cu3O6.97,92.7
Y1.1Ba1.9Cu3O6.65,92.6
Y1Ba2Cu3H0.32O6.91,92.6
Y1Ba2Cu3O7,92.6
Y1Ba2Cu3O6.82,92.6
Y1Ba2Cu2.95Co0.05O6.88,92.6
Y1Ba2Cu2.97Fe0.03O7,92.6
Bi2Sr2Ca0.8Yb0.2Cu2O8.26,92.6
Y1Ba2Cu3O7,92.6
Y1Ba2Cu3O6.94,92.55
Y1Ba2Cu3O6.951,92.5
Y1Ba2Cu3Li0.02O7,92.5
Y1Ba2Cu3O7,92.5
Y1Ba2Cu3O7,92.5
Sm1Ba2Cu3O6.878,92.5
Er1Ba2Cu3O7,92.5
Bi2Sr1.8Ca1Lu0.2Cu2O8.27,92.5
Y0.9Ca0.1Ba2Cu2.9Al0.1O6.88,92.5
Er0.924Pr0.076Ba2Cu3O7,92.5
Y1Ba2Cu3O6.821,92.5
Y1Ba2Cu3H0.27O6.91,92.5
Y0.4Yb0.6Ba2Cu3O6.93,92.5
Nd1Ba1.8Sr0.2Cu3O6.96,92.5
Y1Ba2Cu3O7,92.5
Y1Ba1.7Rb0.3Cu3O6.52,92.45
Dy1Ba2Cu3O7,92.4
Y1Ba2Cu3O6.74,92.4
Y1Ba2Cu2.95Al0.05O6.93,92.4
Y1Ba2Cu3O6.9,92.4
Y1Ba2Cu3O6.84,92.4
Y1Ba2Cu3O7,92.4
Y1Ba2Cu3O6.9,92.4
Y1Ba2Cu3O6.86,92.4
Y1Ba2Cu3O7,92.4
Y1Ba2Cu3O7,92.35
Y1Ba2Cu3O7,92.3
Y1Ba2Cu3O6.92,92.3
Y1Ba2Cu3O6.95,92.3
Y0.9Ca0.1Ba2Cu4O8,92.3
Y1Ba2Cu3O7,92.3
Y1Ba2Cu3O7,92.3
Y1Ba2Cu3O6.93,92.3
Bi2Sr2Ca1Cu2O8.195,92.3
Bi2Sr2Ca1Cu2O8.118,92.3
Y1Ba2Cu3O6.9,92.2
Y1Ba2Cu3O6.95,92.2
Y1Ba2Cu3O7,92.2
Sr1Cu1O2,92.2
Y1Ba2Cu3F0.25O6.7,92.2
Y1Ba2Cu3F0.29O6.7,92.2
Y1Ba2Cu3F0.38O6.7,92.2
Hg1Ba2Cu1O4.07,92.2
Y1Ca1Ba2Cu3Ni1O6.89,92.2
Sm1Ba2Cu3O6.86,92.2
Bi2Sr2Ca1Cu2O8.26,92.15
Nd1Ba2Cu3O6.98,92.12
Y0.14Tm0.85Ba2Cu3O7,92.1
Y1Ba2Cu3O6.95,92.1
Gd1Ba2Cu3O6.969,92.1
Y1Ba2Cu3O7,92.1
Y1Ba2Cu3F0.1O7,92.1
Y1Ba2Cu3F0.2O7,92.1
Tl1.63Ba2Ca1.3Cu2O7.94,92.1
Y0.9Tb0.1Ba2Cu3O7,92.1
Y0.68Tb0.32Ba2Cu3O7,92.1
Hg1Ba2Cu1O4.27,92.1
Y1Ba2Cu2.94Fe0.06O7.254,92.1
Tl2Ba2Cu1O6,92.1
Dy1Ba2Cu3O7,92.1
Hg0.8Mn0.2Ba2Cu1O4.2,92.1
Y1Ba1.9La0.1Cu3O6.99,92.1
Y1Ba2Cu3O6.93,92.1
Er1Ba2Cu3O6.93,92.05
Y1Re0.1Ba2Cu2.9O7.09,92.05
Y1Re0.15Ba2Cu2.85O7.17,92.03
Y1Ba2Cu3O6.957,92
Y0.99La0.01Ba2Cu3O7.07,92
Y0.9La0.1Ba2Cu3O6.97,92
Bi1.4Pb0.6Sr2Ca1Cu2O8,92
Na0.05W1O3,92
Na0.05W1O3,92
Ba2Ca3Cu4F1.4O8.6,92
Ba2Ca3Cu4F1.4O8.6,92
Y1Ba2Cu3H0.14O6.91,92
Y1Ba2Cu3O6.85,92
Bi2Sr2Ca0.8Gd0.2Cu2O8.27,92
Bi2Sr2Ca0.8Eu0.2Cu2O8.26,92
Y1Ba2Cu3O6.95,92
Er1Ba2Cu3O6.953,92
Hg1Ba2Cu1O4.105,92
Gd1Ba2Cu3O6.99,92
Y1Ba2Cu2.97Ga0.03O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O6.93,92
Y1Ba2Cu3O6.9,92
Tl1Ba2Ca0.9Nd0.1Cu2O7,92
Bi2Sr2Ca0.8Dy0.2Cu2O8.26,92
Lu1Ba2Cu3O7,92
Y1Ba2Cu3O6.89,92
Gd1Ba2Cu3O6.94,92
Y1Ba2Cu3O6.96,92
Sm1Ba2Cu3O6.941,92
Y1Ba2Cu3O7,92
Y1Ba2Cu2.98Fe0.02O7,92
Y1Ba2Cu3O7,92
Sm1Ba2Cu3O6.99,92
Y1Ba2Cu3O6.96,92
Hg0.92Ba2.05Cu1.03O4.044,92
Y1Ba2Cu3O6.9,92
Y1Ba2Cu2.95Ni0.05O7,92
Y1.04Ba1.96Cu3O6.8,92
Y1Ba2Cu3O6.88,92
Y1Ba2Cu3O7,92
Bi2Sr2Ca1Cu2O8.21,92
Y1Ba2Cu3O6.9,92
Y1Ba1.8Rb0.2Cu3O6.56,92
Y1Ba2Cu3F0.825O1,92
Y1Ba2Cu3O7,92
Y1Ba1.8Sr0.2Cu3O6.8,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y0.85Ca0.15Ba2Cu2.85Al0.15O6.87,92
Y1Ba2Cu3O6.93,92
Y1Ba2Cu2.985Ni0.015O6.92,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O6.94,92
Nd1Ba2Cu3O6.09,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O6.93,92
Hg0.9Re0.1Ba2Cu1O4.35,92
Y1Ba2Cu4O6.998,92
Bi2Sr2Ca0.8Eu0.2Cu2O8.26,92
Bi2Sr1.8Ca1Y0.2Cu2O8.25,92
Sm1Ba2Cu3O6.85,92
